country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Botswana,5.3,,,,,4.84,,,,,4.19,,,,,3.9,,,,,3.43,,,,,3.05,,,,,2.96,,,,,3.07,,,,,3.28,,,,,3.48,,,,,3.78,,,,,4.11,,,,,4.45,,,,,5.12,,,,,5.74,,,,,6.36,,,,,7.23,,,,,8.63,,,,,10.8,,,,,13.4,,,,,15.6,,,,,17.3,,,,,18.6,,,,,19.6,,,,,20.7,,,,,22.3,,,,,23.8,,,,,25,,,,,26.1,,,,,27,,,,,27.9
Brazil,4.16,,,,,4.21,,,,,4.39,,,,,4.46,,,,,4.68,,,,,4.92,,,,,4.96,,,,,5.07,,,,,5.72,,,,,6.06,,,,,6.85,,,,,7.72,,,,,8.95,,,,,10.6,,,,,12.5,,,,,14.7,,,,,16.9,,,,,19.1,,,,,21.7,,,,,24.6,,,,,27.2,,,,,29.5,,,,,31.7,,,,,33.4,,,,,34.5,,,,,35.5,,,,,36.2,,,,,36.7,,,,,37,,,,,37.2,,,,,37.4
Brunei,6.35,,,,,6.11,,,,,5.45,,,,,5.12,,,,,4.94,,,,,5.05,,,,,3.99,,,,,4.22,,,,,4.01,,,,,4.07,,,,,3.8,,,,,4.62,,,,,5.06,,,,,6.68,,,,,9.18,,,,,12.1,,,,,15.3,,,,,18.6,,,,,22,,,,,25.4,,,,,28.2,,,,,29.9,,,,,31.5,,,,,32.6,,,,,33.1,,,,,33.9,,,,,34.7,,,,,35.3,,,,,35.8,,,,,36.2,,,,,36.5
Bulgaria,8.7,,,,,8.74,,,,,9.46,,,,,10.9,,,,,12.6,,,,,13.9,,,,,13.2,,,,,14.5,,,,,17.6,,,,,19.3,,,,,19.7,,,,,20.2,,,,,21.9,,,,,23.4,,,,,24.4,,,,,25.3,,,,,26.3,,,,,28.2,,,,,30.2,,,,,31.6,,,,,33.1,,,,,33.3,,,,,32.1,,,,,31.2,,,,,31.5,,,,,31.8,,,,,32.3,,,,,32.8,,,,,33.2,,,,,33.4,,,,,33.7
Burkina Faso,4.1,,,,,4.31,,,,,4.42,,,,,4.59,,,,,4.72,,,,,4.8,,,,,4.76,,,,,4.6,,,,,4.42,,,,,3.92,,,,,3.5,,,,,3.26,,,,,3.12,,,,,3.08,,,,,3.2,,,,,3.45,,,,,3.81,,,,,4.22,,,,,4.75,,,,,5.36,,,,,5.95,,,,,6.59,,,,,7.33,,,,,8.2,,,,,9.23,,,,,10.3,,,,,11.4,,,,,12.5,,,,,13.6,,,,,14.8,,,,,16.1
Burundi,4.55,,,,,4.23,,,,,4.19,,,,,4.2,,,,,4.16,,,,,4.56,,,,,4.37,,,,,4.19,,,,,4.28,,,,,4.07,,,,,4.06,,,,,3.87,,,,,3.82,,,,,4.08,,,,,4.45,,,,,4.62,,,,,4.65,,,,,4.56,,,,,4.8,,,,,5.28,,,,,5.93,,,,,6.58,,,,,7.06,,,,,7.54,,,,,8.32,,,,,9.29,,,,,10.3,,,,,11.3,,,,,12.2,,,,,13.1,,,,,14.2
Cambodia,3.93,,,,,3.61,,,,,3.48,,,,,3.47,,,,,3.52,,,,,3.62,,,,,3.64,,,,,3.95,,,,,4.28,,,,,4.56,,,,,4.46,,,,,4.64,,,,,4.97,,,,,5.6,,,,,6.06,,,,,7.42,,,,,8.64,,,,,9.75,,,,,9.7,,,,,13.5,,,,,15,,,,,17.7,,,,,19.6,,,,,20.6,,,,,22.1,,,,,23.8,,,,,25.5,,,,,26.9,,,,,28.2,,,,,29.5,,,,,30.7
Cameroon,5.04,,,,,5.08,,,,,5.13,,,,,5.16,,,,,5.15,,,,,5.11,,,,,5.03,,,,,4.89,,,,,5.08,,,,,4.94,,,,,4.79,,,,,4.63,,,,,4.5,,,,,4.43,,,,,4.43,,,,,4.57,,,,,4.85,,,,,5.28,,,,,5.9,,,,,6.73,,,,,7.63,,,,,8.49,,,,,9.32,,,,,10.3,,,,,11.4,,,,,12.7,,,,,13.8,,,,,15,,,,,16.1,,,,,17.3,,,,,18.4
Canada,10.5,,,,,9.97,,,,,9.39,,,,,9.18,,,,,9.34,,,,,9.95,,,,,10.6,,,,,11.4,,,,,13.7,,,,,14.3,,,,,14.9,,,,,16.2,,,,,18.4,,,,,21,,,,,23.9,,,,,26.6,,,,,28,,,,,28.8,,,,,29.4,,,,,30.1,,,,,30.6,,,,,31.4,,,,,31.7,,,,,31.8,,,,,32.3,,,,,32.8,,,,,33.2,,,,,33.7,,,,,34.1,,,,,34.5,,,,,34.9
Cape Verde,8.33,,,,,6.06,,,,,5.88,,,,,5.41,,,,,5.89,,,,,6.36,,,,,5.98,,,,,5.31,,,,,6.26,,,,,6.29,,,,,6.44,,,,,6.13,,,,,5.4,,,,,5.48,,,,,6.08,,,,,7.5,,,,,8.8,,,,,10.1,,,,,11.8,,,,,14.4,,,,,17.4,,,,,20.2,,,,,22.7,,,,,24.7,,,,,26.4,,,,,27.9,,,,,29.5,,,,,30.9,,,,,32.2,,,,,33.2,,,,,34.1
