country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Botswana,7.77,,,,,7.27,,,,,6.37,,,,,5.81,,,,,5.03,,,,,4.37,,,,,4.19,,,,,4.35,,,,,4.87,,,,,5.2,,,,,5.59,,,,,5.94,,,,,6.23,,,,,7.02,,,,,7.89,,,,,8.8,,,,,9.85,,,,,11.2,,,,,13.2,,,,,15.9,,,,,18.2,,,,,20.3,,,,,21.9,,,,,23.2,,,,,24.6,,,,,26.2,,,,,27.7,,,,,29,,,,,30.1,,,,,31.1,,,,,31.9
Brazil,5,,,,,5.13,,,,,5.36,,,,,5.39,,,,,5.51,,,,,5.69,,,,,5.77,,,,,6.02,,,,,7.11,,,,,7.65,,,,,8.59,,,,,9.61,,,,,11.1,,,,,13.1,,,,,15.4,,,,,18,,,,,20.6,,,,,23.2,,,,,26.1,,,,,29.2,,,,,31.9,,,,,34.2,,,,,36.3,,,,,38,,,,,39,,,,,39.9,,,,,40.6,,,,,41,,,,,41.2,,,,,41.3,,,,,41.4
Brunei,7.39,,,,,6.86,,,,,6.07,,,,,5.66,,,,,5.42,,,,,5.24,,,,,3.68,,,,,3.68,,,,,4.01,,,,,4.35,,,,,3.97,,,,,5.02,,,,,5.72,,,,,7.52,,,,,10,,,,,12.9,,,,,16.4,,,,,20,,,,,23.4,,,,,26.6,,,,,29.3,,,,,31.1,,,,,32.7,,,,,33.8,,,,,34.3,,,,,35.2,,,,,36,,,,,36.6,,,,,37.1,,,,,37.5,,,,,37.9
Bulgaria,10.3,,,,,10.5,,,,,11.2,,,,,12.4,,,,,14,,,,,15.3,,,,,15,,,,,16.6,,,,,20.9,,,,,23.3,,,,,24.4,,,,,25.8,,,,,28.5,,,,,30.6,,,,,32,,,,,33,,,,,33.9,,,,,35.5,,,,,37.3,,,,,38.2,,,,,39.6,,,,,39.8,,,,,38.3,,,,,37.1,,,,,36.8,,,,,36.5,,,,,36.4,,,,,36.4,,,,,36.4,,,,,36.3,,,,,36.4
Burkina Faso,3.19,,,,,3.66,,,,,4.04,,,,,4.5,,,,,4.92,,,,,5.28,,,,,5.51,,,,,5.6,,,,,5.74,,,,,5.42,,,,,5.12,,,,,4.88,,,,,4.67,,,,,4.59,,,,,4.65,,,,,4.82,,,,,5.08,,,,,5.4,,,,,5.87,,,,,6.43,,,,,7.02,,,,,7.7,,,,,8.51,,,,,9.49,,,,,10.7,,,,,11.9,,,,,13.2,,,,,14.5,,,,,15.8,,,,,17.2,,,,,18.7
Burundi,5.3,,,,,5.06,,,,,5.09,,,,,5.14,,,,,5.14,,,,,5.26,,,,,5.17,,,,,5.02,,,,,5.26,,,,,5.09,,,,,4.94,,,,,4.54,,,,,4.19,,,,,4.35,,,,,4.72,,,,,4.99,,,,,5.23,,,,,5.22,,,,,5.43,,,,,6.07,,,,,7.03,,,,,7.89,,,,,8.48,,,,,9.06,,,,,9.92,,,,,11,,,,,12.2,,,,,13.5,,,,,14.6,,,,,15.8,,,,,17
Cambodia,4.71,,,,,4.58,,,,,4.52,,,,,4.54,,,,,4.59,,,,,4.66,,,,,5.16,,,,,5.03,,,,,5.26,,,,,5.26,,,,,5.35,,,,,5.96,,,,,6.75,,,,,7.86,,,,,9,,,,,10.4,,,,,11.7,,,,,12.9,,,,,12.9,,,,,17,,,,,18.8,,,,,21.3,,,,,23.3,,,,,24.6,,,,,26.1,,,,,27.8,,,,,29.5,,,,,30.8,,,,,31.9,,,,,33,,,,,34.1
Cameroon,5.92,,,,,5.95,,,,,6.01,,,,,6.02,,,,,5.99,,,,,5.92,,,,,5.81,,,,,5.63,,,,,5.92,,,,,5.74,,,,,5.56,,,,,5.38,,,,,5.23,,,,,5.13,,,,,5.09,,,,,5.18,,,,,5.41,,,,,5.82,,,,,6.43,,,,,7.32,,,,,8.32,,,,,9.33,,,,,10.3,,,,,11.5,,,,,12.9,,,,,14.3,,,,,15.7,,,,,17.1,,,,,18.4,,,,,19.7,,,,,21
Canada,9.97,,,,,9.92,,,,,9.79,,,,,9.96,,,,,10.6,,,,,11.5,,,,,12.5,,,,,13.7,,,,,17.3,,,,,17.8,,,,,18.4,,,,,19.5,,,,,21.5,,,,,23.7,,,,,26.4,,,,,29,,,,,30.3,,,,,31.2,,,,,32,,,,,32.8,,,,,33.3,,,,,34,,,,,34.2,,,,,34.3,,,,,34.7,,,,,35.2,,,,,35.7,,,,,36.1,,,,,36.4,,,,,36.8,,,,,37.3
Cape Verde,10.3,,,,,7.88,,,,,7.43,,,,,6.68,,,,,6.98,,,,,7.34,,,,,6.67,,,,,6.01,,,,,7.25,,,,,7.5,,,,,8.23,,,,,8.24,,,,,7.9,,,,,7.96,,,,,8.59,,,,,10.2,,,,,11.6,,,,,12.6,,,,,14,,,,,16.2,,,,,19.1,,,,,22.3,,,,,25.2,,,,,27.6,,,,,29.6,,,,,31.2,,,,,32.7,,,,,34,,,,,35.1,,,,,35.9,,,,,36.5
Central African Republic,7.97,,,,,7.3,,,,,7.01,,,,,6.74,,,,,6.59,,,,,6.54,,,,,6.36,,,,,6.19,,,,,6.71,,,,,6.53,,,,,6.34,,,,,6.13,,,,,5.92,,,,,5.99,,,,,5.97,,,,,5.84,,,,,5.76,,,,,5.85,,,,,6.18,,,,,6.72,,,,,7.43,,,,,8.44,,,,,9.95,,,,,11.8,,,,,13.6,,,,,15.4,,,,,16.9,,,,,18.5,,,,,20.3,,,,,22,,,,,23.7
Chad,6.97,,,,,6.53,,,,,6.44,,,,,6.26,,,,,6.11,,,,,5.9,,,,,5.61,,,,,5.37,,,,,5.47,,,,,5.13,,,,,4.8,,,,,4.49,,,,,4.25,,,,,4.29,,,,,4.3,,,,,4.29,,,,,4.3,,,,,4.46,,,,,4.77,,,,,5.23,,,,,5.85,,,,,6.63,,,,,7.56,,,,,8.59,,,,,9.7,,,,,10.9,,,,,12.1,,,,,13.4,,,,,14.7,,,,,16.1,,,,,17.4
Chile,6.78,,,,,7.18,,,,,7.43,,,,,7.61,,,,,7.77,,,,,7.91,,,,,8.19,,,,,8.5,,,,,10.4,,,,,11.1,,,,,12,,,,,13.2,,,,,14.7,,,,,16.8,,,,,19.1,,,,,21.7,,,,,24.3,,,,,26.4,,,,,28.3,,,,,30.2,,,,,32.4,,,,,34.2,,,,,35.6,,,,,36.6,,,,,37.5,,,,,38.2,,,,,38.8,,,,,39.2,,,,,39.6,,,,,39.9,,,,,40.1
